Stage,Player 1 Ringname,Player 1 Rank,Player 1 Character,Player 2 Ringname,Player 2 Rank,Player 2 Character,round_number,Winning Player Number,How Round Ended,Time Remaining When Round Ended,Shun.Drinks.1P,Shun.Drinks.2P,Strike First Player,P1 Health,P2 Health,P1 Rounds Won So Far,P2 Rounds Won So Far,Match Winner
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,0,0,NA,0,,
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,45,0,0,,100,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,44,0,0,,100,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,44,0,0,,86,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,44,0,0,,86,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,44,0,0,,86,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,44,0,0,,86,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,44,0,0,,86,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,43,0,0,,86,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,43,0,0,,82,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,43,0,0,,81,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,43,0,0,,81,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,43,0,0,,76,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,42,0,0,,76,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,42,0,0,,72,100,0,0,2
Palace,B.S.R-NA,27,Wolf,SuperGolden,30,Blaze,1,2,,42,0,0,,70,100,0,0,2
